State,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022)
Oklahoma,"2,104",25.8,7,13.6%,5.6,7.9,1.5,3.8,40.0%,68.6%,58.7%,41.3%,85.0%,2.76%,54217,3.081,4.16,3.36
Oregon,"2,186",23.3,6.49,17.0%,5.5,7.4,1.7,4.1,44.2%,68.1%,68.3%,31.7%,89.3%,1.97%,50830,3.52,4.752,2.81
Pennsylvania,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637,9.544,12.885,2.59
Rhode Island,493,24.5,5.57,17.8%,5.4,7.2,1.6,3.8,39.2%,67.5%,59.8%,40.2%,87.4%,1.42%,12094,0.8865,1.197,2.46
South Carolina,"2,586",25.7,6.44,16.3%,5.7,8.4,1.9,4.6,53.4%,70.8%,54.5%,45.5%,82.7%,3.21%,66458,3.983,5.377,2.88
South Dakota,463,26.4,6.92,22.3%,5.7,7.9,1.7,4,64.7%,66.1%,65.9%,34.1%,82.5%,3.89%,12203,0.5982,0.8076,2.15
Tennessee,"3,359",26.3,6.24,15.7%,5.5,7.6,1.7,4.4,56.0%,69.7%,55.3%,44.7%,83.8%,2.95%,88357,4.684,6.323,3.04
Texas,"10,647",25.8,4.9,17.6%,5.6,9,1.8,4.1,44.2%,71.1%,56.9%,43.1%,81.9%,3.97%,274633,18.821,25.408,2.69
Utah,903,29.6,3.89,10.5%,5.6,7.8,1.7,4.4,29.6%,68.0%,47.8%,52.2%,79.1%,3.77%,26746,1.636,2.209,3.7
Vermont,332,22.5,6.32,18.5%,5.5,7.5,1.9,4.3,58.0%,66.0%,68.7%,31.3%,88.9%,1.51%,7469,0.513,0.6926,2.24
Virginia,"3,071",25.9,4.55,16.4%,5.5,7.2,1.6,3.7,51.7%,69.1%,57.1%,42.9%,83.0%,3.09%,79429,6.126,8.27,2.78
Washington,"3,184",24.3,5.28,15.4%,5.3,6.8,1.5,3.6,42.8%,66.0%,64.6%,35.4%,87.2%,1.82%,77302,5.805,7.837,3.01
West Virginia,"1,037",27.3,7.24,13.9%,6.4,9.8,1.8,5.1,39.1%,70.8%,49.8%,50.2%,84.0%,2.03%,28285,1.335,1.802,2.97
Wisconsin,"2,651",24.2,5.75,25.8%,5.5,7.5,1.7,3.8,51.4%,68.4%,63.2%,36.8%,86.1%,2.30%,64214,4.453,6.011,2.19
Wyoming,347,26.7,7.82,18.5%,5.5,7.5,1.5,4.1,47.6%,70.4%,60.8%,39.2%,85.0%,2.59%,9249,0.5931,0.8007,3.15
