x-coordinate,y-coordinate,Similarity_score
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5520.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5035.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7008.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8607.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9915.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_10837.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5465.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_7458.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_3948.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1975.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_8257.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_10564.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6619.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_4624.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_5936.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1426.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9016.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_10134.json,0.6363636363636364
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_6249.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_4274.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_1076.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9446.json,0.5
data/haunted_places_jsons_subset/haunted_place_6863.json,data/haunted_places_jsons_subset/haunted_place_9368.json,0.6363636363636364
